index,0,1
0,AA,Hamburg-Altona
1,"AA 
          2","Hamburg-Altona 
          (Einsatzstelle)"
2,AA-G,"Hamburg-Altona 
          Gbf"
3,AA-K,"Hamburg-Altona 
          Gbf (Ak)"
4,AA-N,"Hamburg-Altona 
          (An)"
5,AA-P,"Hamburg-Altona 
          (Ap)"
6,AA-W,"Hamburg-Altona 
          Kai"
7,AABG,Agathenburg
8,AADF,Adendorf
9,AAE,Brest-Aspe
10,AAG,"Ascheberg 
          (Holstein)"
11,AAGD,Arnis-Grödersby
12,AAH,Aumühle
13,AAHR,Ahrensburg
14,AAHRN,"Ahrensburg 
          Nord"
15,AAHZ,Altenholz
16,AAL,Albersdorf
17,AALH,"Hamburg-Allermöhe 
          (S-Bahn)"
18,AALM,Hamburg-Allermöhe
19,AALS,"Itzehoe 
          Alsen"
20,AALT,Altenbruch
21,AAMP,"Hamburg 
          Anckelmannsplatz"
22,AAPS,Apensen
23,AAPSB,"Apensen 
          BHE"
24,AAR,"Hamburg 
          Rainweg"
25,AARF,"Ahrensfelde 
          (Bz Bremen)"
26,AAS,"Hamburg-Altona 
          (S-Bahn)"
27,AASM,Archsum
28,AASN,Ashausen
29,AAT,Altengörs
30,AAV,Alveslohe
31,AAW,"Hamburg 
          Alte Wöhr"
32,AB,Hamburg-Blankenese
33,ABAA,Basdahl
34,ABAD,Bardowick
35,ABAE,Bargteheide
36,ABAF,Hamburg-Bahrenfeld
37,ABAG,Hamburg-Barmbek
38,ABAL,Barrl
39,ABAP,"Hamburg-Barmbek 
          (S-Bahn)"
40,ABAS,"Badenstedt 
          (b. Rotenburg/Wümme)"
41,ABAT,Bargstedt
42,ABB,Bickbargen
43,ABBG,Blocksberg
44,ABBK,Hamburg-Billbrook
45,ABCH,Büchen
46,ABCHG,"Büchen 
          Bbf"
47,ABCL,Barchel
48,ABDD,Breddorf
49,ABDF,Beschendorf
50,ABDS,"Hamburg-Bergedorf 
          Süd"
51,ABE,Beldorf
52,ABEF,Beckdorf
53,ABEV,Bevern
54,ABF,Bavendorf
55,ABG,Hamburg-Bergedorf
56,ABG-A,"Hamburg-Bergedorf 
          Gbf Stw BA"
57,ABG-G,"Hamburg-Bergedorf 
          Gbf"
58,ABG-S,"Hamburg-Bergedorf 
          (S-Bahn)"
59,ABGL,"Hamburg-Barmbek 
          Gleichrichterwerk"
60,ABGS,Beringstedt
61,ABH,Bokhorst
62,ABHT,Bokholt
63,ABHV,Hamburg-Boberg-Havighorst
64,ABIL,Bienenbüttel
65,ABIS,Hamburg-Billstedt
66,ABK,Brunsbüttel
67,ABKN,"Brunsbüttel 
          Nord"
68,ABKO,"Brunsbüttel 
          Ost"
69,ABLZ,"Buchholz 
          (Nordheide)"
70,"ABLZ 
          1","Buchholz 
          (Nordheide) EST"
71,ABLZO,"Buchholz 
          (Nordheide) Vorbahnhof"
72,ABM,Bokelholm
73,ABMB,"Barmstedt 
          Brunnenstraße"
74,ABMS,Barmstedt
75,ABNS,Bönningstedt
76,ABOS,Boostedt
77,ABR,"Burg 
          (Dithmarschen)"
78,ABRD,Bordesholm
79,ABRI,Brillit
80,ABRM,Brandenbaum
81,ABRO,Brockel
82,ABRP,Braderup
83,ABRS,Brokstedt
84,ABS,"Hamburg-Billwerder 
          (Übergabestelle)"
85,ABSD,"Bad 
          Bramstedt"
86,ABSF,Börnsen
87,ABSK,"Bad 
          Bramstedt Kurhaus"
88,ABSM,Büsum
89,ABSMH,"Büsum 
          Hafen"
90,ABSN,Besenhorst
91,ABST,Bredstedt
92,ABSTM,"Bredstedt 
          Marktplatz"
93,ABTS,"Hamburg 
          Berliner Tor"
94,ABTSB,"Hamburg 
          Berliner Tor (Richtung Bergedorf)"
95,ABTSL,"Hamburg 
          Berliner Tor (Richtung Landwehr)"
96,ABUF,"Burg 
          (Fehmarn)"
97,ABUS,Büsenbachtal
98,ABUSS,"Alter 
          Schafstall"
99,ABUW,"Burg 
          (Fehmarn) West"
100,ABV,Bremervörde
101,ABVD,"Bremervörde 
          Süd"
102,ABVS,"Bad 
          Bevensen"
103,ABVSB,"Bad 
          Bevensen Busbf"
104,ABWD,Hamburg-Burgwedel
105,ABWM,"Hamburg-Billwerder 
          Moorfleet"
106,ABX,Buxtehude
107,ABXS,"Buxtehude 
          Süd"
108,ABZ,Bützfleth
